uid,str_p50,str_p75,str_p90,str_p95,str_p97,str_p99,str_max,str_iqr,lp_mean,lp_std,lp_cv,lp_max,lp_med,lp_p75,lp_p90,lp_p95,lp_p99,lp_skew,lp_sbr,lp_gmean,lp_gmax,rp_mean,rp_std,rp_cv,rp_max,rp_med,rp_p75,rp_p90,rp_p95,rp_p99,rp_skew,rp_sbr,rp_gmean,rp_gmax,lc_mean,lc_std,lc_cv,lc_max,lc_med,lc_p75,lc_p90,lc_p95,lc_p99,lc_skew,lc_sbr,lc_gmean,lc_gmax,rc_mean,rc_std,rc_cv,rc_max,rc_med,rc_p75,rc_p90,rc_p95,rc_p99,rc_skew,rc_sbr,rc_gmean,rc_gmax,asym_put,asym_cau,pc_ratio_l,pc_ratio_r,min_pc_ratio,sum_put,sum_cau,put_cau_ratio
ujv6oh9s,23.245247,31.430454,46.920532,59.83894,67.394745,76.64731,87.13383,11.107933,23.031874,3.3777046,0.14665349,32.952267,22.28873,24.823372,28.1118,29.937738,32.069862,0.795078456401825,23.031874,0.8475374,10.976175,35.969845,11.320693,0.31472734,75.16509,33.674324,41.74904,52.1848,59.355247,69.01142,1.0024323463439941,35.969845,3.47471,21.364557,20.26702,2.8444417,0.1403483,28.836906,19.979559,21.963943,24.169153,25.858223,28.140268,0.6179949641227722,20.26702,1.0070122,7.482355,35.317116,17.83212,0.5049144,87.13383,28.128223,45.60129,65.427864,73.861305,82.54879,1.1170154809951782,35.317116,4.608864,54.65828,0.21928127,0.27076244,1.1364213,1.018482,1.018482,59.001717,55.584137,1.0614848
dbdw2pcn,17.78603,22.204504,28.970829,33.002686,35.159355,38.07139,40.68486,7.251067,16.321259,2.4230494,0.14845972,23.165512,15.980435,17.792263,19.757942,20.764528,22.413574,0.4909985363483429,16.321259,0.8504486,8.075777,19.294216,3.3844144,0.17541082,30.507685,19.012531,21.209236,23.73872,25.544981,28.55665,0.5169685482978821,19.294216,1.2680448,13.364867,16.869234,3.7064056,0.21971393,28.584621,15.780592,19.064354,22.50962,24.43469,27.003466,0.8946459889411926,16.869234,1.0124705,7.1635027,24.520247,7.837041,0.3196151,40.68486,24.657873,30.628706,35.145496,37.199234,39.559155,0.007873810827732086,24.520247,2.6837354,18.977695,0.083473764,0.18485403,0.9675163,0.78686875,0.78686875,35.615475,41.38948,0.8604958
9t84azyt,28.671024,43.23787,61.180824,71.550224,77.597435,86.151054,95.61766,23.535574,31.709433,11.134243,0.35113347,65.53118,28.75925,38.137344,48.98366,54.437977,62.129333,0.9034085273742676,31.709433,3.2806985,18.025583,22.997763,11.008514,0.47867763,58.874863,20.20737,29.569239,38.542355,44.370686,55.05416,0.932439923286438,22.997763,2.7434883,16.994282,39.113483,17.429056,0.44560224,89.559204,34.403996,50.087425,66.39219,72.96106,83.32266,0.8017566800117493,39.113483,4.9860554,21.385778,36.667747,24.581234,0.67037755,95.61766,31.144802,56.322437,73.854996,81.45451,91.97738,0.5676213502883911,36.667747,7.343462,61.67909,0.15924175,0.032273635,0.81070334,0.6271932,0.6271932,54.707195,75.781235,0.7219095
jxepq85j,13.677849,15.992228,20.259628,23.37851,24.87587,27.145658,33.208668,3.6271267,13.184068,2.9309464,0.22230971,20.722103,12.881597,15.086708,17.190908,18.375406,19.943684,-0.027074122801423073,13.184068,1.0892643,11.635158,16.776306,4.6840153,0.27920422,26.919733,15.530955,20.82228,23.967392,25.25911,26.362762,0.41542261838912964,16.776306,1.9792037,15.41275,12.95711,2.1274793,0.16419396,19.900927,13.00756,14.0312195,15.149051,15.9958725,19.203192,-0.40030038356781006,12.95711,0.83136445,12.577675,15.9673605,4.3635154,0.2732772,33.208668,14.7120075,16.943571,22.65609,25.714619,29.231384,1.3520334959030151,15.9673605,2.0675766,20.030148,0.11989966,0.10407278,1.017516,1.0506624,1.017516,29.960373,28.92447,1.035814
sg65kxvf,18.510326,22.833704,29.42406,32.382374,34.238434,38.301174,45.88574,7.223732,19.800901,4.0399575,0.20402896,33.481457,19.295473,21.288713,25.647387,28.09918,31.489779,0.7805097699165344,19.800901,1.124197,14.619489,20.403624,5.174115,0.25358805,33.812107,19.846767,23.41005,27.968052,30.139555,32.406635,0.3390054702758789,20.403624,1.5862534,18.106258,18.604858,4.5441327,0.24424441,33.344482,17.324718,20.299217,25.792051,28.700918,31.64138,1.126135230064392,18.604858,1.138529,17.56521,20.75503,9.028124,0.43498486,45.88574,17.208958,28.580872,34.232906,36.89826,42.167446,0.6951574683189392,20.75503,3.3193464,34.248756,0.014991402,0.054628495,1.0642866,0.9830689,0.9830689,40.204525,39.359886,1.0214593
1t2tala7,27.497543,38.46644,53.56366,61.670815,66.26736,72.65089,78.873856,14.8454,26.971245,6.0805554,0.22544585,56.53258,24.497604,28.614918,35.220818,40.721256,49.79651,2.0823686122894287,26.971245,1.4946485,8.337475,33.23885,10.134671,0.3049044,63.356335,30.506748,39.8661,48.247375,53.581985,60.593304,0.9306234121322632,33.23885,3.1689565,20.037601,27.14241,6.5587997,0.24164397,56.276447,24.943499,29.273643,36.156002,41.435276,50.83609,1.7751026153564453,27.14241,1.6444533,8.266369,42.61482,16.053465,0.37671086,78.873856,40.47301,55.304733,66.25912,70.24429,75.57907,0.3751175105571747,42.61482,5.4080586,35.864304,0.104095586,0.22180364,0.9936938,0.77998334,0.77998334,60.210094,69.75723,0.86313766
53lc58dr,14.878471,17.234644,20.10112,23.01732,25.225853,28.377277,37.841393,5.0548315,14.901841,3.3838282,0.2270745,21.680014,15.655712,17.310284,18.595266,19.48673,20.888662,-0.6362533569335938,14.901841,1.2477969,9.571303,19.36424,4.436219,0.22909337,36.68029,18.591972,22.07702,25.658567,27.211637,29.957731,0.4019298851490021,19.36424,2.2711902,18.784489,12.689802,3.0624638,0.24133267,20.689754,12.646482,15.173336,16.582903,17.498018,19.661652,0.2008201777935028,12.689802,0.8949229,10.066343,14.502576,3.9580235,0.27291867,37.841393,13.870447,15.744877,17.880745,21.861702,31.55437,2.3124213218688965,14.502576,1.4656171,26.246609,0.13022788,0.06666477,1.1743163,1.3352277,1.1743163,34.266083,27.192379,1.2601355
c11ertj5,24.009825,27.11319,29.265415,30.173119,30.677765,31.523603,33.09661,7.480631,26.969288,3.5330977,0.13100448,33.09661,27.91998,29.75143,30.769276,31.33754,32.273083,-0.7148099541664124,26.969288,1.1527706,11.007637,25.43966,2.52443,0.09923207,30.306269,25.955713,27.111956,28.245228,28.88701,29.779806,-0.969718873500824,25.43966,1.0030752,6.289383,21.16537,4.4914236,0.21220623,31.376856,20.72193,24.273445,27.854961,28.699844,30.119928,0.2003341019153595,21.16537,1.6061765,11.493307,20.581944,4.1883183,0.20349479,29.872927,20.380083,24.224287,25.837418,26.967539,28.6132,-0.13365495204925537,20.581944,1.4493773,12.1770935,0.029186405,0.013975209,1.2742176,1.2360183,1.2360183,52.408947,41.747314,1.2553849
9mx2x18h,3.4090943,5.6008587,9.388238,11.102433,12.069744,12.96071,13.931855,3.1396937,4.754288,2.9028563,0.61057645,13.380765,3.9730544,6.092714,9.709027,10.809488,12.763656,1.0657765865325928,4.754288,0.9898325,9.203455,5.14162,2.9417007,0.572135,13.931855,4.009278,6.4982376,9.802817,11.873423,13.575711,1.2438570261001587,5.14162,0.998732,11.682957,3.2842717,2.2213368,0.676356,13.083835,2.4685044,3.821404,6.350674,8.587762,11.2222595,1.92893648147583,3.2842717,0.5655335,8.109305,4.822417,3.1746926,0.65831983,13.67534,3.3537035,6.2498827,10.5482645,11.989761,12.99245,1.2768465280532837,4.822417,0.96974796,10.589174,0.039140616,0.18973778,1.4475929,1.0661916,1.0661916,9.895908,8.1066885,1.2207091
afeyuhz1,1.5050476,2.1698713,2.6985016,3.0429158,3.3089914,3.6337216,4.159978,1.1597209,1.6438607,0.53493136,0.32541162,2.9245696,1.5753466,2.0431406,2.3963914,2.5936575,2.8102536,0.2940927743911743,1.6438607,0.21061164,1.631086,1.250341,0.57876235,0.4628836,3.039405,1.0841074,1.6364194,2.1714015,2.299349,2.7356975,0.7180671691894531,1.250341,0.2520078,2.2088346,2.0989377,0.9451202,0.45028502,4.159978,2.1362286,2.8635054,3.3908863,3.5890913,3.8938706,-0.02809973992407322,2.0989377,0.30227005,2.1087413,1.4567795,0.7510214,0.5155354,3.6486099,1.3320735,2.0360737,2.5323174,2.7434418,3.1694863,0.41752222180366516,1.4567795,0.280899,1.4563141,0.13596828,0.1805988,0.783187,0.8582912,0.783187,2.8942018,3.5557172,0.8139572
gv0e38da,4.3823586,6.8594923,10.70215,12.443985,13.260026,14.536422,16.197023,3.5631266,4.875208,2.627929,0.5390394,12.873293,4.255291,6.349512,8.495542,10.083906,12.46168,0.8597887754440308,4.875208,0.80888385,6.369146,9.261084,3.5030446,0.3782543,16.197023,9.333521,12.281414,13.760973,14.581819,15.342735,-0.05096692591905594,9.261084,1.5046009,9.117884,3.4554427,1.2648548,0.3660471,9.865905,3.3827672,4.186778,5.0071917,5.601453,7.2010126,0.8493370413780212,3.4554427,0.5210904,3.0691483,5.2075553,2.4276333,0.46617523,13.693225,4.4082136,6.0038643,9.036782,10.793346,12.669663,1.4267842769622803,5.2075553,0.80166906,7.690427,0.31025645,0.20225245,1.410878,1.7783937,1.410878,14.1362915,8.662998,1.6318012
ly8ozcyw,1.1892571,1.8596075,2.373405,2.668912,3.0166147,3.676665,4.4820795,1.1542926,1.4108157,0.61118376,0.43321303,2.789204,1.4283767,1.8545825,2.2412782,2.4097624,2.6699684,0.04101194068789482,1.4108157,0.19653895,1.6006081,1.7603862,0.79741174,0.45297545,4.352367,1.8629755,2.264712,2.624881,2.978676,3.828216,0.042577460408210754,1.7603862,0.3140611,2.8681896,0.74474794,0.41918984,0.5628614,1.989225,0.68005073,0.9957464,1.360718,1.5711565,1.841494,0.6729209423065186,0.74474794,0.16774353,1.8412943,1.450072,0.8739876,0.60272014,4.4820795,1.2111781,2.0050817,2.6895251,3.216964,3.9402769,0.9218940734863281,1.450072,0.2844799,4.0385246,0.110232815,0.32135853,1.8943533,1.2139992,1.2139992,3.171202,2.19482,1.4448575
d14ve92m,2.5256348,3.987804,5.7540345,6.6346135,7.050585,7.630569,8.487862,2.1445022,3.4676523,1.6200671,0.46719423,7.873783,2.8971071,4.471609,6.054052,6.6965976,7.682884,0.9147870540618896,3.4676523,0.45094377,3.9293902,3.7138247,1.737342,0.46780398,8.487862,3.2858968,4.9390583,6.257542,6.9241953,7.8232794,0.5816690921783447,3.7138247,0.62818205,4.800657,2.175019,1.2152857,0.5587471,7.6374025,1.9774001,2.842062,3.6692667,4.5037904,6.169958,1.1579692363739014,2.175019,0.46971172,3.0403109,2.8742142,1.9063298,0.66325253,8.473922,2.2267528,3.949848,6.07622,6.8855343,7.739477,0.9471763968467712,2.8742142,0.6385811,6.7533875,0.034278803,0.13847551,1.594309,1.2921183,1.2921183,7.181477,5.0492334,1.4222906
pnsm43d8,1.087952,1.991312,3.952772,4.9286222,5.414544,5.9643526,6.8027043,1.3580527,1.0590857,0.64517885,0.60918474,3.6155548,0.90816116,1.3198155,1.905258,2.4429195,3.292919,1.4839401245117188,1.0590857,0.21285975,1.3136986,3.7203555,1.4871799,0.39974132,6.8027043,3.807204,4.8925366,5.6744533,5.963305,6.5457726,-0.12575413286685944,3.7203555,0.52924305,3.5550163,0.8436311,0.6808752,0.80707693,2.6164098,0.8125372,1.3153725,1.777116,2.0085053,2.400016,0.18275345861911774,0.8436311,0.24603917,2.182743,1.3008502,1.1096923,0.8530516,6.186761,0.98998606,1.626972,2.7806695,3.593782,5.3516865,1.676666498184204,1.3008502,0.28705165,4.6349425,0.55681604,0.2132073,1.2553897,2.8599417,1.2553897,4.7794414,2.1444812,2.2287169
w3zp08j3,0.9942187,1.4208028,2.0590165,2.5804818,2.9557867,3.6151001,4.410106,0.7829683,0.9108777,0.4598635,0.5048576,2.3203382,0.9058495,1.214774,1.4586893,1.6513643,2.0528464,0.0735802873969078,0.9108777,0.14406411,1.4450457,1.3251648,0.8047265,0.60726523,3.6141527,1.3016603,1.8399543,2.360037,2.7465022,3.333363,0.14833615720272064,1.3251648,0.28662056,2.1625314,1.0649785,0.5346735,0.502051,3.1862795,1.0118951,1.3148749,1.7231996,2.1187017,2.9174564,1.0475401878356934,1.0649785,0.17797798,0.99760485,1.2073259,0.9589099,0.7942428,4.410106,0.89431775,1.659276,2.6856349,3.380453,4.0729938,1.2433080673217773,1.2073259,0.24227607,1.4422679,0.18527693,0.062644534,0.8553015,1.0976032,0.8553015,2.2360425,2.2723045,0.98404175
trp0j43d,1.3844647,1.9526395,2.5711122,3.185769,3.4965463,4.019961,4.4713054,1.0245533,1.4935733,0.5537417,0.3707496,3.2230368,1.4221449,1.9167988,2.2621658,2.4877405,2.7958379,0.3896152377128601,1.4935733,0.23126023,2.1599183,2.0001705,0.82421017,0.41206995,4.046667,1.9125614,2.5065022,3.2263827,3.573767,3.8782966,0.43511998653411865,2.0001705,0.34407336,2.4161427,1.2270749,0.488171,0.3978331,2.6156461,1.1891816,1.5679226,1.8984357,2.0599635,2.4338655,0.29097238183021545,1.2270749,0.23682648,2.0114808,1.4924825,1.011855,0.6779677,4.4713054,1.1668124,1.9963213,3.130676,3.7814507,4.2797575,1.0979506969451904,1.4924825,0.3375263,2.061531,0.14500123,0.097592235,1.2171819,1.3401634,1.2171819,3.493744,2.7195573,1.2846738
5iqvnb4g,5.412001,7.0316696,8.767208,9.517118,10.159911,11.427759,12.772677,2.7368956,5.9909453,1.8192246,0.30366236,9.882417,5.897378,7.4410715,8.572619,9.076476,9.634688,0.1594228893518448,5.9909453,0.6350087,5.3199854,5.7796793,1.6492025,0.285345,10.954891,5.4837213,6.5686755,8.271425,9.200866,10.282937,0.7943809032440186,5.7796793,0.6379107,4.813734,5.2100716,1.6347892,0.31377482,9.44766,5.040659,6.1782513,7.5687804,8.413266,9.275636,0.5456677675247192,5.2100716,0.5615499,3.3791368,6.1169243,2.457023,0.4016762,12.772677,5.34079,7.7274265,10.036728,10.931701,12.22958,0.8093724846839905,6.1169243,0.7111586,4.175692,0.017948585,0.08006118,1.1498778,0.9448669,0.9448669,11.770624,11.326996,1.0391656
h2m5zja8,3.101986,4.304707,6.2717757,7.488815,7.980111,8.789679,10.215639,1.9675901,2.9352782,0.8533068,0.2907073,5.6499863,2.9728656,3.5597224,3.957676,4.2005243,5.054873,0.14684802293777466,2.9352782,0.2605147,1.8218335,2.400945,0.720139,0.29993984,5.4332376,2.361578,2.7386281,3.3113272,3.7604616,4.557521,0.7728548049926758,2.400945,0.30299923,1.4941205,3.8513644,1.535535,0.39869896,8.176524,3.4809155,4.8172703,6.1856184,6.9137177,7.9106555,0.7323376536369324,3.8513644,0.37712535,2.7673807,4.7105613,2.1539695,0.4572639,10.215639,4.3317103,6.3838606,7.942558,8.577057,9.472722,0.46395784616470337,4.7105613,0.61732167,4.0936136,0.100133225,0.100350894,0.7621398,0.50969404,0.50969404,5.336223,8.561926,0.6232503
dzr1yxr2,2.0915427,3.3880608,4.839615,6.4153295,7.49531,8.907424,9.950599,2.014668,2.9186146,1.658883,0.5683803,9.033073,2.5746956,3.6777995,5.028565,6.325506,8.322896,1.2284761667251587,2.9186146,0.5311707,7.9317503,3.0256033,1.6311289,0.53910863,8.911634,3.1132011,3.7643862,4.852365,6.2250733,7.852411,0.7488325238227844,3.0256033,0.5837877,7.3034177,2.4080136,1.9609059,0.8143251,9.950599,1.8838315,2.7519097,4.5937195,7.4608235,9.479818,2.069119691848755,2.4080136,0.6427011,8.707422,2.254154,1.6640949,0.7382348,9.432906,1.6198196,2.6245146,4.5397453,5.96175,8.782298,2.084566593170166,2.254154,0.50819355,8.572327,0.017998781,0.033001736,1.2120425,1.3422345,1.2120425,5.9442177,4.6621675,1.2749902
dhylurtp,1.0944752,1.6690916,2.6595945,3.414824,3.9572864,4.678888,5.7329707,0.9373504,0.9455583,0.6202702,0.65598303,3.2748847,0.96982753,1.2998458,1.6550534,1.9552375,2.8297346,0.36387917399406433,0.9455583,0.22856615,2.4741018,1.0203756,0.4676948,0.45835552,2.5563605,0.94080335,1.3094816,1.7007244,1.8784004,2.1307983,0.4079627990722656,1.0203756,0.1857619,1.5881921,1.6107818,1.0840559,0.67299986,5.7329707,1.3635385,1.992295,3.1871254,3.9630618,5.0669193,1.3145869970321655,1.6107818,0.3712223,4.9554977,1.6652464,1.178749,0.7078526,5.624138,1.300842,2.3647702,3.3972158,4.0639052,5.040273,1.0055794715881348,1.6652464,0.49720785,4.8424296,0.038056873,0.016625186,0.58701825,0.61274755,0.58701825,1.9659339,3.2760282,0.60009676
0lzjjege,0.970135,2.0022216,3.1208355,3.8541577,4.316273,4.7363114,5.533558,1.4866874,1.282123,0.8341037,0.6505645,4.403122,1.085082,1.8347551,2.4820576,2.8232536,3.6602852,0.8771381974220276,1.282123,0.27068952,1.644039,1.5505146,0.9883208,0.63741475,4.35439,1.5331016,2.2270534,2.8856,3.2756326,3.8925033,0.31472858786582947,1.5505146,0.36089143,2.9573922,1.1183203,0.9721506,0.8692953,5.338633,0.80006194,1.1842132,2.4347148,3.3617105,4.584248,2.0554959774017334,1.1183203,0.28361452,2.4937143,1.5838681,1.5199459,0.95964164,5.533558,0.7998749,2.750647,4.129172,4.5346303,5.0075274,0.8453442454338074,1.5838681,0.49059087,4.7927628,0.09474972,0.17228547,1.146472,0.9789417,0.9789417,2.8326375,2.7021885,1.0482754
t1ghr09s,11.937489,16.168238,24.122005,30.516436,35.466938,43.483044,51.337612,6.580057,10.969065,3.562893,0.32481283,22.651285,10.394412,13.08555,15.775157,17.780481,21.21739,0.763102650642395,10.969065,1.4088058,7.296455,11.104451,2.2632804,0.2038174,18.46938,10.620898,12.322951,14.6497,15.581092,17.232744,0.8042947053909302,11.104451,0.89076245,7.5282736,18.31515,9.28136,0.50675863,50.571976,16.155169,23.269459,31.049614,36.96334,46.802418,1.0864050388336182,18.31515,1.9162099,31.843445,16.049189,8.644163,0.5386044,51.337612,13.528418,18.65536,28.398077,35.44115,45.47887,1.6066303253173828,16.049189,1.9700762,39.68023,0.0061334344,0.06593931,0.59890664,0.6919011,0.59890664,22.073517,34.364338,0.6423379
kdgigatj,1.7486014,2.6854367,3.631939,4.1315436,4.4788003,5.0264554,5.605891,1.5320916,2.1995564,0.89561445,0.4071796,4.304822,1.9815046,2.8834531,3.580274,3.8300226,4.137326,0.4922502934932709,2.1995564,0.28440595,1.5950112,1.8226615,0.7988416,0.43828303,4.188597,1.6637608,2.3375046,3.0046039,3.352024,3.867703,0.6518666744232178,1.8226615,0.26072234,1.5302858,2.0542479,1.2928305,0.62934494,5.495819,1.7599171,2.835795,4.084823,4.621954,5.2518497,0.7342666983604431,2.0542479,0.36325738,1.7003891,1.8889076,1.2312516,0.65183264,5.605891,1.4649968,2.6384575,3.8425548,4.458766,5.129569,0.9460901021957397,1.8889076,0.31464842,1.9526722,0.09370324,0.041930966,1.0707356,0.9649289,0.9649289,4.0222178,3.9431553,1.0200505
